match_no,date,stage,venue,city,innings,batting_team,bowling_team,batting_team_full,bowling_team_full,over,legal_ball_number,is_legal_delivery,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,runs_this_ball,is_wicket,wicket_type,player_dismissed,fielder,total_runs,total_wickets,wickets_remaining,balls_bowled,balls_remaining,crr,is_boundary,is_dot,phase,target,runs_to_win,rrr
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,0.1,1,1,Ajinkya Rahane,Trent Boult,0,0,0,0,0,0,0,0,,,,0,0,10,1,119,0,0,1,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,0.1,1,0,Ajinkya Rahane,Trent Boult,0,1,1,0,0,0,1,0,,,,1,0,10,1,119,6,0,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,0.2,2,1,Ajinkya Rahane,Trent Boult,0,0,0,0,0,0,0,0,,,,1,0,10,2,118,3,0,1,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,0.3,2,0,Ajinkya Rahane,Trent Boult,0,1,1,0,0,0,1,0,,,,2,0,10,2,118,6,0,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,0.3,3,1,Ajinkya Rahane,Trent Boult,6,0,0,0,0,0,6,0,,,,8,0,10,3,117,16,1,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,0.4,4,1,Ajinkya Rahane,Trent Boult,0,0,0,0,0,0,0,0,,,,8,0,10,4,116,12,0,1,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,0.5,5,1,Ajinkya Rahane,Trent Boult,2,0,0,0,0,0,2,0,,,,10,0,10,5,115,12,0,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,0.6,6,1,Ajinkya Rahane,Trent Boult,0,0,0,0,0,0,0,0,,,,10,0,10,6,114,10,0,1,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,1.1,7,1,Finn Allen,Hardik Pandya,0,0,0,0,0,0,0,0,,,,10,0,10,7,113,8.57,0,1,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,1.2,8,1,Finn Allen,Hardik Pandya,0,0,0,0,0,0,0,0,,,,10,0,10,8,112,7.5,0,1,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,1.3,9,1,Finn Allen,Hardik Pandya,0,0,0,0,0,0,0,0,,,,10,0,10,9,111,6.67,0,1,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,1.4,10,1,Finn Allen,Hardik Pandya,4,0,0,0,0,0,4,0,,,,14,0,10,10,110,8.4,1,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,1.5,11,1,Finn Allen,Hardik Pandya,0,0,0,0,0,0,0,0,,,,14,0,10,11,109,7.64,0,1,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,1.6,12,1,Finn Allen,Hardik Pandya,0,0,0,0,0,0,0,0,,,,14,0,10,12,108,7,0,1,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,2.1,13,1,Ajinkya Rahane,AM Ghazanfar,1,0,0,0,0,0,1,0,,,,15,0,10,13,107,6.92,0,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,2.2,14,1,Finn Allen,AM Ghazanfar,0,0,0,0,0,0,0,0,,,,15,0,10,14,106,6.43,0,1,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,2.3,15,1,Finn Allen,AM Ghazanfar,4,0,0,0,0,0,4,0,,,,19,0,10,15,105,7.6,1,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,2.4,16,1,Finn Allen,AM Ghazanfar,6,0,0,0,0,0,6,0,,,,25,0,10,16,104,9.38,1,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,2.5,17,1,Finn Allen,AM Ghazanfar,0,0,0,0,0,0,0,0,,,,25,0,10,17,103,8.82,0,1,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,2.6,18,1,Finn Allen,AM Ghazanfar,6,0,0,0,0,0,6,0,,,,31,0,10,18,102,10.33,1,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,3.1,19,1,Ajinkya Rahane,Hardik Pandya,6,0,0,0,0,0,6,0,,,,37,0,10,19,101,11.68,1,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,3.2,20,1,Ajinkya Rahane,Hardik Pandya,6,0,0,0,0,0,6,0,,,,43,0,10,20,100,12.9,1,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,3.3,21,1,Ajinkya Rahane,Hardik Pandya,0,1,0,1,0,0,1,0,,,,44,0,10,21,99,12.57,0,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,3.4,22,1,Finn Allen,Hardik Pandya,4,0,0,0,0,0,4,0,,,,48,0,10,22,98,13.09,1,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,3.5,22,0,Finn Allen,Hardik Pandya,0,1,1,0,0,0,1,0,,,,49,0,10,22,98,13.36,0,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,3.5,23,1,Finn Allen,Hardik Pandya,4,0,0,0,0,0,4,0,,,,53,0,10,23,97,13.83,1,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,3.6,24,1,Finn Allen,Hardik Pandya,4,0,0,0,0,0,4,0,,,,57,0,10,24,96,14.25,1,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,4.1,25,1,Ajinkya Rahane,Jasprit Bumrah,4,0,0,0,0,0,4,0,,,,61,0,10,25,95,14.64,1,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,4.2,26,1,Ajinkya Rahane,Jasprit Bumrah,1,0,0,0,0,0,1,0,,,,62,0,10,26,94,14.31,0,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,4.3,27,1,Finn Allen,Jasprit Bumrah,4,0,0,0,0,0,4,0,,,,66,0,10,27,93,14.67,1,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,4.4,28,1,Finn Allen,Jasprit Bumrah,1,0,0,0,0,0,1,0,,,,67,0,10,28,92,14.36,0,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,4.5,29,1,Ajinkya Rahane,Jasprit Bumrah,0,0,0,0,0,0,0,0,,,,67,0,10,29,91,13.86,0,1,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,4.6,30,1,Ajinkya Rahane,Jasprit Bumrah,1,0,0,0,0,0,1,0,,,,68,0,10,30,90,13.6,0,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,5.1,31,1,Ajinkya Rahane,Shardul Thakur,1,0,0,0,0,0,1,0,,,,69,0,10,31,89,13.35,0,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,5.2,32,1,Finn Allen,Shardul Thakur,0,0,0,0,0,0,0,1,caught,Finn Allen,Tilak Varma,69,1,9,32,88,12.94,0,1,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,5.3,33,1,Cameron Green,Shardul Thakur,1,0,0,0,0,0,1,0,,,,70,1,9,33,87,12.73,0,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,5.4,34,1,Ajinkya Rahane,Shardul Thakur,4,0,0,0,0,0,4,0,,,,74,1,9,34,86,13.06,1,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,5.5,35,1,Ajinkya Rahane,Shardul Thakur,0,0,0,0,0,0,0,0,,,,74,1,9,35,85,12.69,0,1,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,5.6,36,1,Ajinkya Rahane,Shardul Thakur,4,0,0,0,0,0,4,0,,,,78,1,9,36,84,13,1,0,Powerplay,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,6.1,37,1,Cameron Green,Mayank Markande,1,0,0,0,0,0,1,0,,,,79,1,9,37,83,12.81,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,6.2,38,1,Ajinkya Rahane,Mayank Markande,2,0,0,0,0,0,2,0,,,,81,1,9,38,82,12.79,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,6.3,39,1,Ajinkya Rahane,Mayank Markande,0,0,0,0,0,0,0,0,,,,81,1,9,39,81,12.46,0,1,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,6.4,40,1,Ajinkya Rahane,Mayank Markande,6,0,0,0,0,0,6,0,,,,87,1,9,40,80,13.05,1,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,6.5,41,1,Ajinkya Rahane,Mayank Markande,1,0,0,0,0,0,1,0,,,,88,1,9,41,79,12.88,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,6.6,42,1,Cameron Green,Mayank Markande,6,0,0,0,0,0,6,0,,,,94,1,9,42,78,13.43,1,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,7.1,43,1,Ajinkya Rahane,AM Ghazanfar,1,0,0,0,0,0,1,0,,,,95,1,9,43,77,13.26,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,7.2,44,1,Cameron Green,AM Ghazanfar,1,0,0,0,0,0,1,0,,,,96,1,9,44,76,13.09,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,7.3,45,1,Ajinkya Rahane,AM Ghazanfar,1,0,0,0,0,0,1,0,,,,97,1,9,45,75,12.93,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,7.4,46,1,Cameron Green,AM Ghazanfar,1,0,0,0,0,0,1,0,,,,98,1,9,46,74,12.78,0,0,Middle,,,
