match_no,innings,batting_team,bowling_team,venue,phase,total_runs,total_wickets,wickets_remaining,balls_bowled,balls_remaining,crr,mom_runs_l30,mom_wkts_l30,mom_dot_rate_l30,mom_bdry_rate_l30,partnership_runs,partnership_balls,y_final_score
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,0,0,10,1,119,0.0,0,0,1.0,0.0,0,1,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,1,0,10,2,118,3.0,1,0,0.5,0.0,1,2,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,1,0,10,3,117,2.0,1,0,0.667,0.0,1,3,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,7,0,10,4,116,10.5,7,0,0.5,0.25,7,4,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,7,0,10,5,115,8.4,7,0,0.6,0.2,7,5,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,7,0,10,6,114,7.0,7,0,0.667,0.167,7,6,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,8,0,10,7,113,6.86,8,0,0.571,0.143,8,7,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,9,0,10,8,112,6.75,9,0,0.5,0.125,9,8,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,10,0,10,9,111,6.67,10,0,0.444,0.111,10,9,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,10,0,10,10,110,6.0,10,0,0.5,0.1,10,10,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,11,0,10,10,110,6.6,11,0,0.455,0.091,11,11,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,12,0,10,11,109,6.55,12,0,0.417,0.083,12,12,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,13,0,10,11,109,7.09,13,0,0.385,0.077,13,13,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,17,0,10,12,108,8.5,17,0,0.357,0.143,17,14,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,17,1,9,13,107,7.85,17,1,0.4,0.133,17,15,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,18,1,9,13,107,8.31,18,1,0.375,0.125,1,1,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,19,1,9,13,107,8.77,19,1,0.353,0.118,2,2,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,20,1,9,14,106,8.57,20,1,0.333,0.111,3,3,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,20,1,9,15,105,8.0,20,1,0.368,0.105,3,4,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,20,1,9,16,104,7.5,20,1,0.4,0.1,3,5,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,24,1,9,17,103,8.47,24,1,0.381,0.143,7,6,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,24,2,8,18,102,8.0,24,2,0.409,0.136,7,7,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,28,2,8,19,101,8.84,28,2,0.391,0.174,4,1,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,29,2,8,20,100,8.7,29,2,0.375,0.167,5,2,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,29,2,8,21,99,8.29,29,2,0.4,0.16,5,3,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,29,2,8,22,98,7.91,29,2,0.423,0.154,5,4,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,29,2,8,23,97,7.57,29,2,0.444,0.148,5,5,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,30,2,8,24,96,7.5,30,2,0.429,0.143,6,6,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,30,2,8,25,95,7.2,30,2,0.448,0.138,6,7,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,30,3,7,26,94,6.92,30,3,0.467,0.133,6,8,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,30,3,7,27,93,6.67,30,3,0.467,0.133,0,1,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,33,3,7,28,92,7.07,32,3,0.467,0.133,3,2,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,34,3,7,29,91,7.03,33,3,0.433,0.133,4,3,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,34,3,7,30,90,6.8,27,3,0.467,0.1,4,4,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,34,3,7,31,89,6.58,27,3,0.467,0.1,4,5,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,40,3,7,32,88,7.5,33,3,0.433,0.133,10,6,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,44,3,7,33,87,8.0,36,3,0.433,0.167,14,7,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,50,3,7,34,86,8.82,41,3,0.433,0.2,20,8,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,50,3,7,35,85,8.57,40,3,0.467,0.2,20,9,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Powerplay,50,3,7,36,84,8.33,40,3,0.467,0.2,20,10,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,51,3,7,37,83,8.27,40,3,0.467,0.2,21,11,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,52,3,7,38,82,8.21,40,3,0.467,0.2,22,12,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,53,3,7,39,81,8.15,40,3,0.467,0.2,23,13,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,54,3,7,40,80,8.1,37,3,0.467,0.167,24,14,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,54,3,7,41,79,7.9,37,2,0.467,0.167,24,15,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,55,3,7,42,78,7.86,37,2,0.467,0.167,25,16,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,56,3,7,43,77,7.81,37,2,0.467,0.167,26,17,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,60,3,7,44,76,8.18,40,2,0.467,0.2,30,18,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,61,3,7,45,75,8.13,41,2,0.433,0.2,31,19,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,65,3,7,46,74,8.48,45,2,0.4,0.233,35,20,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,69,3,7,47,73,8.81,45,2,0.4,0.233,39,21,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,71,3,7,48,72,8.88,47,1,0.367,0.233,41,22,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,72,3,7,49,71,8.82,44,1,0.367,0.2,42,23,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,73,3,7,50,70,8.76,44,1,0.367,0.2,43,24,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,73,3,7,51,69,8.59,44,1,0.367,0.2,43,25,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,77,3,7,52,68,8.88,48,1,0.333,0.233,47,26,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,79,3,7,53,67,8.94,50,1,0.3,0.233,49,27,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,80,3,7,54,66,8.89,50,1,0.3,0.233,50,28,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,80,3,7,55,65,8.73,50,1,0.3,0.233,50,29,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,84,3,7,56,64,9.0,54,0,0.267,0.267,54,30,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,85,3,7,57,63,8.95,55,0,0.233,0.267,55,31,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,86,3,7,58,62,8.9,53,0,0.233,0.267,56,32,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,88,3,7,59,61,8.95,54,0,0.233,0.267,58,33,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,88,3,7,60,60,8.8,54,0,0.233,0.267,58,34,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,88,3,7,61,59,8.66,54,0,0.233,0.267,58,35,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,89,3,7,62,58,8.61,49,0,0.233,0.233,59,36,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,90,3,7,63,57,8.57,46,0,0.233,0.2,60,37,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,91,3,7,64,56,8.53,41,0,0.233,0.167,61,38,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,92,3,7,65,55,8.49,42,0,0.2,0.167,62,39,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,93,3,7,66,54,8.45,43,0,0.167,0.167,63,40,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,94,3,7,67,53,8.42,43,0,0.167,0.167,64,41,203
1,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Middle,95,3,7,68,52,8.38,43,0,0.167,0.167,65,42,203
